Id,Title,IsUpgraded,Tier,TierSource,TrainingLabel,Axes,Tags,UpgradeCost,UpgradeDesc,Cost,Type,Rarity,Pool,Character,Score,Description,Keywords,SynergyAxesSource,Notes,TierModel,TierModelDelta,TierModelScore
CARD.ABRASIVE,연마+,True,S,ml-published,A,CUNNING_PRODUCER,,,,3,Power,Rare,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,70,"[gold]교활[/gold].
[gold]민첩[/gold]을 1 얻습니다.
[gold]가시[/gold]를 6 얻습니다.",Sly,,,S,+1,3.96
CARD.ABRASIVE,연마,False,S,ml-published,A,CUNNING_PRODUCER,,,"[gold]교활[/gold].
[gold]민첩[/gold]을 1 얻습니다.
[gold]가시[/gold]를 6 얻습니다.",3,Power,Rare,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,67,"[gold]교활[/gold].
[gold]민첩[/gold]을 1 얻습니다.
[gold]가시[/gold]를 4 얻습니다.",Sly,,,S,+1,3.95
CARD.ACCELERANT,촉진제+,True,B,ml-published,S,POISON,독,,,1,Power,Rare,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,81,"[gold]중독[/gold]이 2번
추가로 발동합니다.",,POISON,,B,-2,1.80
CARD.ACCELERANT,촉진제,False,B,ml-published,S,POISON,독,,"[gold]중독[/gold]이 2번
추가로 발동합니다.",1,Power,Rare,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,78,"[gold]중독[/gold]이 1번
추가로 발동합니다.",,POISON,,B,-2,1.88
CARD.ACCURACY,정밀+,True,B,ml-published,A,SCALING,,,,1,Power,Uncommon,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,69,"[gold]단도[/gold]의 피해량이
6 증가합니다.",,SCALING,,B,-1,1.97
CARD.ACCURACY,정밀,False,B,ml-published,A,SCALING,,,"[gold]단도[/gold]의 피해량이
6 증가합니다.",1,Power,Uncommon,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,66,"[gold]단도[/gold]의 피해량이
4 증가합니다.",,SCALING,,B,-1,1.95
CARD.ACROBATICS,곡예+,True,S,ml-published,B,DRAW,드로우,,,1,Skill,Uncommon,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,55,"카드를 4장 뽑습니다.
카드를 1장 버립니다.",,,,S,+2,3.76
CARD.ACROBATICS,곡예,False,S,ml-published,B,DRAW,드로우,,"카드를 4장 뽑습니다.
카드를 1장 버립니다.",1,Skill,Uncommon,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,52,"카드를 3장 뽑습니다.
카드를 1장 버립니다.",,,,S,+2,3.74
CARD.ADAPTIVE_STRIKE,적응형 타격+,True,B,ml-published,A,ENERGY,,,,2,Attack,Rare,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,67,"피해를 23 줍니다.
[gold]버린 카드 더미[/gold]에 이 카드의
비용이 0[img]res://images/packed/sprite_fonts/defect_energy_icon.png[/img]인 복사본을
1장 추가합니다.",Strike,ENERGY,,B,-1,2.00
CARD.ADAPTIVE_STRIKE,적응형 타격,False,B,ml-published,A,ENERGY,,,"피해를 23 줍니다.
[gold]버린 카드 더미[/gold]에 이 카드의
비용이 0[img]res://images/packed/sprite_fonts/defect_energy_icon.png[/img]인 복사본을
1장 추가합니다.",2,Attack,Rare,CARD_POOL.DEFECT_CARD_POOL,CARD_POOL.DEFECT_CARD_POOL,64,"피해를 18 줍니다.
[gold]버린 카드 더미[/gold]에 이 카드의
비용이 0[img]res://images/packed/sprite_fonts/defect_energy_icon.png[/img]인 복사본을
1장 추가합니다.",Strike,ENERGY,,B,-1,1.93
CARD.ADRENALINE,아드레날린+,True,S,ml-published,S,EXHAUST_TAG;ENERGY;DRAW,드로우;소모;에너지,,,0,Skill,Rare,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,72,"[img]res://images/packed/sprite_fonts/silent_energy_icon.png[/img][img]res://images/packed/sprite_fonts/silent_energy_icon.png[/img]를 얻습니다.
카드를 2장 뽑습니다.
[gold]소멸[/gold].",Exhaust,EXHAUST|ENERGY,,S,0,3.85
CARD.ADRENALINE,아드레날린,False,S,ml-published,A,EXHAUST_TAG;ENERGY;DRAW,드로우;소모;에너지,,"[img]res://images/packed/sprite_fonts/silent_energy_icon.png[/img][img]res://images/packed/sprite_fonts/silent_energy_icon.png[/img]를 얻습니다.
카드를 2장 뽑습니다.
[gold]소멸[/gold].",0,Skill,Rare,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,69,"[img]res://images/packed/sprite_fonts/silent_energy_icon.png[/img]를 얻습니다.
카드를 2장 뽑습니다.
[gold]소멸[/gold].",Exhaust,EXHAUST|ENERGY,,S,0,3.80
CARD.AFTERIMAGE,잔상+,True,S,ml-published,A,BLOCK;INNATE_SELF;PLAY_TRIGGER,방어,,,1,Power,Rare,CARD_POOL.SILENT_CARD_POOL,CARD_POOL.SILENT_CARD_POOL,69,"[gold]선천성[/gold].
카드를 사용할 때마다,
[gold]방어도[/gold]를 1 얻습니다.",Innate,BLOCK,,S,+1,3.82
